Excl.,UID,Session,Date,Run,Sample,d45,d45 SD,d46,d46 SD,d47,d47 SD,d48,d48 SD,d49,d49 SD,D47 (raw),D47 SD (raw),D48 (raw),D48 SD (raw),D49 (raw),d49 SD (raw),d13C,d13C SD,d18O,d18O SD,Magazine,Weight,Leak,p no Acid,pCO2,VM1,Init. Int,Init. Sample,Init. Ref.,Offset,Fin. Sample,Fin. Ref.,Offset,Refill,Bake,D47 (slope corr),D48 (slope corr),D47 I-CDES,D48 CDES,Comments
,,,23/10/2023 19:49,55,98GR08,-2.21,0.025,8.326,0.108,5.572,0.257,16.349,0.932,-0.533,17.196,-0.313,0.204,-0.367,0.806,-14.361,17.144,-6.96,0.02,2.7,0.11,9,126,117,123,650,128,47702,,,,,,,,,,,,,
,,,24/10/2023 06:13,55,98GR08,-2.199,0.024,8.368,0.106,5.625,0.172,16.436,0.839,-4.214,22.638,-0.312,0.148,-0.365,0.743,-18.083,22.484,-6.95,0.02,2.74,0.11,20,122,93,123,589,125,42467,,,,,,,,,,,,,
,,,28/10/2023 16:57,57,98GR08,-2.225,0.014,8.168,0.025,5.389,0.168,16.163,0.858,1.623,17.412,-0.325,0.173,-0.236,0.833,-11.917,17.193,-6.97,0.02,2.54,0.03,29,101,107,123,589,125,37898,,,,,,,,,,,,,
x,,,29/10/2023 06:51,57,98GR08,-0.021,0.022,-0.062,0.032,-0.127,0.196,-0.147,0.834,21.15,16.516,-0.044,0.205,-0.023,0.814,21.298,16.526,-4.32,0.02,-5.66,0.03,45,101,132,123,416,120,15070,,,,,,,,,,,,,
,,,23/10/2023 16:02,55,98GR18,-2.118,0.019,8.507,0.086,5.821,0.189,16.597,0.866,-5.148,13.49,-0.336,0.206,-0.482,0.742,-19.355,13.406,-6.87,0.02,2.88,0.09,5,118,117,123,623,128,42735,,,,,,,,,,,,,
,,,24/10/2023 07:09,55,98GR18,-2.11,0.027,8.534,0.098,5.943,0.216,16.798,0.838,-4.455,21.211,-0.25,0.166,-0.338,0.748,-18.731,21.055,-6.86,0.03,2.9,0.1,21,116,122,123,616,125,41090,,,,,,,,,,,,,
,,,28/10/23 19.44,57,98GR18,-2.13,0.019,8.323,0.071,5.634,0.198,16.666,0.723,-2.361,13.63,-0.331,0.191,-0.049,0.722,-16.245,13.409,-6.88,0.02,2.69,0.07,32,103,88,123,545,123,30295,,,,,,,,,,,,,
,,,29/10/23 9.10,57,98GR18,-2.074,0.023,8.58,0.054,5.975,0.18,17.112,0.863,-4.999,16.611,-0.3,0.177,-0.12,0.799,-19.395,16.467,-6.83,0.02,2.95,0.05,46,98,264,303,577,125,35308,,,,,,,,,,,,,
,,,26/10/2023 06:55,56,98GR22,-2.791,0.027,8.263,0.095,4.84,0.241,16.311,0.704,-2.637,18.617,-0.377,0.175,-0.278,0.603,-15.703,18.523,-7.58,0.03,2.63,0.09,21,103,117,123,631,125,45392,,,,,,,,,,,,,
,,,27/10/2023 02:35,56,98GR22,-2.793,0.026,8.503,0.109,5.142,0.191,16.919,1.007,-1.953,23.419,-0.31,0.172,-0.157,0.862,-15.487,23.255,-7.59,0.02,2.87,0.11,40,100,88,123,616,125,42752,,,,,,,,,,,,,
,,,28/10/2023 20:39,57,98GR22,-2.87,0.027,8.273,0.087,4.744,0.242,16.273,1.057,-0.295,19.969,-0.402,0.211,-0.336,0.907,-13.329,19.853,-7.66,0.03,2.65,0.09,33,108,112,123,555,125,32311,,,,,,,,,,,,,
,,,29/10/2023 05:53,57,98GR22,-2.83,0.025,8.391,0.106,5.002,0.21,16.998,0.921,-1.6,22.566,-0.302,0.154,0.143,0.825,-14.884,22.456,-7.62,0.02,2.76,0.11,44,106,93,123,614,125,41324,,,,,,,,,,,,,
,,,23/10/2023 15:06,55,98GR29,-2.042,0.018,8.413,0.066,5.798,0.176,16.434,0.829,-7.828,11.942,-0.346,0.155,-0.455,0.751,-21.898,11.822,-6.79,0.02,2.78,0.07,4,120,98,123,604,128,39135,,,,,,,,,,,,,
,,,24/10/2023 12:36,55,98GR29,-2.103,0.017,8.045,0.082,5.478,0.189,15.572,0.517,6.287,10.432,-0.242,0.193,-0.573,0.489,-7.208,10.207,-6.84,0.02,2.42,0.08,25,115,107,115,592,120,38485,,,,,,,,,,,,,
,,,26/10/2023 03:08,56,98GR29,-2.104,0.028,8.465,0.093,5.864,0.255,17.092,0.95,-9.88,21.346,-0.267,0.216,0.09,0.834,-23.953,21.175,-6.85,0.03,2.83,0.09,17,99,161,120,506,123,28528,,,,,,,,,,,,,
,,,27/10/2023 03:31,56,98GR29,-1.771,0.032,8.484,0.124,6.254,0.299,17.017,0.91,-11.026,25.927,-0.242,0.232,-0.022,0.79,-25.462,25.765,-6.5,0.03,2.85,0.12,41,98,161,123,543,123,30216,,,,,,,,,,,,,
,,,26/10/2023 22:50,56,98GR34,-1.538,0.032,8.304,0.104,6.167,0.226,16.655,0.835,-13.894,21.882,-0.394,0.178,-0.023,0.709,-28.193,21.724,-6.24,0.03,2.67,0.1,36,108,88,123,531,123,31735,,,,,,,,,,,,,
,,,28/10/2023 02:54,57,98GR34,-1.696,0.015,7.873,0.067,5.642,0.193,22.321,2.631,0.691,17.815,-0.332,0.198,6.411,2.702,-12.829,17.481,-6.4,0.02,2.24,0.07,16,99,1001,1097,577,137,33148,,,,,,,,,,,,,
,,,29/10/2023 02:13,57,98GR34,-1.609,0.027,8.132,0.098,6.005,0.242,17.486,1.113,-4.216,21.725,-0.314,0.218,1.137,0.958,-18.251,21.584,-6.31,0.03,2.5,0.1,40,100,93,123,574,125,35261,,,,,,,,,,,,,
,,,23/10/2023 18:52,55,99CH10,-1.663,0.016,8.452,0.049,6.256,0.19,16.588,0.522,0.129,9.417,-0.321,0.17,-0.382,0.486,-14.53,9.306,-6.38,0.02,2.82,0.05,8,125,117,123,660,128,49961,,,,,,,,,,,,,
,,,24/10/2023 11:08,55,99CH10,-1.688,0.015,8.408,0.029,6.207,0.263,16.437,0.791,4.584,12.979,-0.3,0.257,-0.442,0.771,-10.027,12.798,-6.41,0.02,2.78,0.03,24,120,132,123,650,128,46874,,,,,,,,,,,,,
,,,26/10/2023 23:46,56,99CH10,-1.594,0.019,8.638,0.048,6.514,0.203,16.744,0.711,-1.323,20.285,-0.317,0.196,-0.596,0.651,-16.388,20.048,-6.32,0.02,3.01,0.05,37,99,122,123,584,123,36473,,,,,,,,,,,,,
,,,25/10/2023 06:18,55,ABGK01,-3.989,0.017,5.798,0.04,1.318,0.243,11.463,0.814,13.177,24.964,-0.243,0.24,-0.165,0.772,6.01,24.848,-8.76,0.02,0.18,0.04,44,121,93,123,611,125,46093,,,,,,,,,,,,,
,,,26/10/2023 02:11,56,ABGK01,-4.041,0.028,5.691,0.092,1.222,0.187,12.005,0.903,-5.636,24.055,-0.18,0.161,0.584,0.805,-12.406,24.037,-8.81,0.03,0.08,0.09,16,98,98,123,555,123,31793,,,,,,,,,,,,,
,,,28/10/2023 03:49,57,ABGK01,-4.019,0.029,5.734,0.091,1.22,0.208,14.788,1.934,-6.738,20.331,-0.247,0.196,3.25,1.755,-13.607,20.343,-8.79,0.03,0.12,0.09,17,105,112,120,526,125,31734,,,,,,,,,,,,,
,,,25/10/2023 07:14,55,ABGK02,-4.074,0.025,5.946,0.095,1.431,0.231,11.948,0.626,-3.06,19.089,-0.186,0.194,0.021,0.572,-10.306,19.106,-8.86,0.02,0.33,0.09,45,122,117,123,618,125,42595,,,,,,,,,,,,,
,,,26/10/2023 05:58,56,ABGK02,-4.101,0.018,5.785,0.038,1.126,0.179,11.451,0.871,2.297,18.936,-0.306,0.171,-0.15,0.823,-4.648,18.843,-8.88,0.02,0.17,0.04,20,101,88,123,572,125,34191,,,,,,,,,,,,,
x,,,28/10/2023 16:03,57,ABGK02,-4.18,0.029,5.682,0.134,0.961,0.24,11.516,1.062,-13.802,26.797,-0.288,0.21,0.118,0.895,-20.351,26.813,-8.96,0.03,0.07,0.13,28,103,78,123,491,123,23312,,,,,,,,,,,,,
x,,,29/10/23 3.08,57,ABGK02,-4.158,0.018,5.637,0.034,0.921,0.167,12.656,0.995,-16.026,15.387,-0.307,0.16,1.334,1.007,-22.504,15.266,-8.94,0.02,0.02,0.03,41,104,122,123,513,123,25312,,,,,,,,,,,,,
,,,14/10/2023 19:33,52,Carrara,6.124,0.013,11.962,0.048,17.664,0.2,23.069,0.688,1.7,5.378,-0.479,0.196,-0.974,0.686,-27.781,5.253,1.79,0.01,6.41,0.05,11,104,,,,,,,,,,,,,,,,,,
,,,15/10/2023 11:04,52,Carrara,6.141,0.014,12.038,0.032,17.729,0.192,23.328,0.736,0.052,5.895,-0.507,0.186,-0.871,0.72,-29.541,5.719,1.8,0.01,6.48,0.03,17,118,,,,,,,,,,,,,,,,,,
,,,16/10/2023 07:40,52,Carrara,6.11,0.014,11.93,0.049,17.575,0.222,23.462,0.682,0.23,5.902,-0.522,0.21,-0.528,0.678,-29.134,5.728,1.77,0.02,6.37,0.05,25,106,,,,,,,,,,,,,,,,,,
,,,16/10/2023 19:33,52,Carrara,6.158,0.016,12.144,0.067,17.853,0.243,23.763,0.856,-7.601,8.433,-0.505,0.243,-0.656,0.775,-37.183,8.255,1.81,0.02,6.59,0.07,33,110,,,,,,,,,,,,,,,,,,
,,,17/10/2023 03:11,52,Carrara,6.182,0.013,12.104,0.021,17.826,0.196,24.165,0.668,-7.877,8.038,-0.518,0.196,-0.185,0.647,-37.401,7.804,1.84,0.01,6.55,0.02,41,108,,,,,,,,,,,,,,,,,,
,,,17/10/2023 19:05,53,Carrara,6.183,0.033,12.284,0.133,18.002,0.285,24.036,0.831,-9.646,17.513,-0.521,0.209,-0.667,0.655,-39.451,17.22,1.84,0.03,6.73,0.13,9,116,,,,,,,,,,,,,,,,,,
,,,18/10/2023 02:51,53,Carrara,6.186,0.03,12.268,0.139,17.909,0.28,24.16,0.959,-9.711,18.721,-0.6,0.215,-0.514,0.831,-39.486,18.408,1.84,0.03,6.71,0.14,17,111,,,,,,,,,,,,,,,,,,
,,,18/10/2023 12:06,53,Carrara,6.151,0.016,12.007,0.045,17.626,0.171,23.241,0.731,-1.601,5.424,-0.589,0.163,-0.895,0.73,-31.097,5.274,1.81,0.02,6.45,0.04,25,104,,,,,,,,,,,,,,,,,,
,,,18/10/2023 19:49,53,Carrara,6.216,0.021,12.217,0.059,17.953,0.208,23.724,0.776,-7.011,11.064,-0.538,0.194,-0.839,0.689,-36.807,10.782,1.87,0.02,6.66,0.06,33,115,,,,,,,,,,,,,,,,,,
,,,19/10/2023 03:34,53,Carrara,6.229,0.022,12.275,0.048,18.014,0.211,23.947,0.976,-5.766,14.9,-0.548,0.189,-0.735,0.911,-35.721,14.531,1.89,0.02,6.72,0.05,41,104,,,,,,,,,,,,,,,,,,
,,,19/10/2023 20:55,54,Carrara,6.185,0.018,12.171,0.059,17.894,0.178,23.672,0.714,-12.383,11.77,-0.519,0.179,-0.799,0.655,-41.901,11.455,1.84,0.02,6.51,0.06,9,112,,,,,,,,,,,,,,,,,,
,,,20/10/2023 04:37,54,Carrara,6.202,0.024,12.233,0.08,17.968,0.202,23.936,1.072,-12.662,11.733,-0.524,0.195,-0.663,0.959,-42.303,11.444,1.86,0.02,6.57,0.08,17,110,,,,,,,,,,,,,,,,,,
,,,20/10/2023 14:02,54,Carrara,6.175,0.012,12.12,0.021,17.791,0.19,23.503,0.674,-6.159,9.424,-0.561,0.19,-0.862,0.653,-35.757,9.139,1.83,0.01,6.45,0.02,25,103,,,,,,,,,,,,,,,,,,
,,,20/10/2023 21:44,54,Carrara,6.202,0.016,12.135,0.069,17.875,0.225,23.529,0.611,-12.013,10.737,-0.519,0.19,-0.867,0.562,-41.49,10.473,1.86,0.02,6.47,0.07,33,113,,,,,,,,,,,,,,,,,,
,,,21/10/2023 05:21,54,Carrara,6.19,0.027,12.204,0.095,17.889,0.267,24.167,0.824,-7.003,17.239,-0.561,0.215,-0.38,0.737,-36.746,16.874,1.85,0.03,6.54,0.09,41,108,,,,,,,,,,,,,,,,,,
,,,23/10/2023 21:40,55,Carrara,6.16,0.029,12.127,0.108,17.814,0.197,23.497,0.814,-12.033,14.973,-0.529,0.157,-0.883,0.707,-41.451,14.702,1.82,0.03,6.46,0.11,11,107,122,120,584,128,41631,,,,,,,,,,,,,
,,,24/10/2023 09:01,55,Carrara,6.169,0.028,12.154,0.108,17.878,0.237,23.894,0.869,-10.642,14.763,-0.502,0.193,-0.547,0.758,-40.161,14.48,1.83,0.03,6.49,0.11,23,107,171,123,628,128,50000,,,,,,,,,,,,,
,,,24/10/2023 21:49,55,Carrara,6.202,0.028,12.241,0.105,17.919,0.244,24.061,0.837,-10.023,17.489,-0.58,0.17,-0.556,0.721,-39.756,17.134,1.86,0.03,6.57,0.1,35,108,122,123,592,125,43599,,,,,,,,,,,,,
,,,25/10/2023 21:10,56,Carrara,6.258,0.028,12.168,0.102,17.912,0.242,23.662,0.824,-11.556,17.653,-0.573,0.187,-0.801,0.686,-41.164,17.29,1.92,0.03,6.5,0.1,11,105,127,123,601,123,40521,,,,,,,,,,,,,
,,,26/10/2023 10:00,56,Carrara,6.348,0.028,12.416,0.113,18.299,0.23,24.432,0.978,-10.722,20.208,-0.526,0.193,-0.54,0.789,-40.907,19.772,2.01,0.03,6.75,0.11,23,103,112,123,628,123,44346,,,,,,,,,,,,,
,,,26/10/2023 21:55,56,Carrara,6.224,0.031,12.267,0.119,17.903,0.261,24.004,0.765,-14.995,22.349,-0.644,0.203,-0.664,0.649,-44.648,21.883,1.88,0.03,6.6,0.12,35,108,117,123,636,125,47268,,,,,,,,,,,,,
,,,27/10/2023 22:12,57,Carrara,6.168,0.026,12.228,0.095,17.91,0.276,24.146,0.812,-11.849,20.099,-0.541,0.218,-0.447,0.661,-41.468,19.64,1.82,0.02,6.56,0.09,11,101,107,123,594,125,39032,,,,,,,,,,,,,
,,,28/10/2023 10:43,57,Carrara,6.199,0.033,12.269,0.113,17.956,0.257,24.732,0.803,-12.182,19.881,-0.568,0.228,0.042,0.655,-41.898,19.478,1.85,0.03,6.6,0.11,23,102,117,123,609,125,47678,,,,,,,,,,,,,
,,,28/10/2023 22:31,57,Carrara,6.2,0.03,12.298,0.106,18.024,0.2,24.302,0.858,-12.769,23.046,-0.529,0.166,-0.434,0.731,-42.522,22.517,1.85,0.03,6.63,0.11,35,104,122,120,621,125,44073,,,,,,,,,,,,,
,,,13/10/2023 20:21,52,ETH 1,6.168,0.014,11.377,0.025,16.934,0.173,22.268,0.62,-2.563,4.141,-0.673,0.167,-0.601,0.61,-30.862,4.008,1.85,0.01,5.82,0.02,2,118,156,113,672,123,28302,,,,,,,,,,,,,
,,,14/10/2023 01:30,52,ETH 1,6.18,0.013,11.396,0.035,16.957,0.201,22.103,0.654,-0.454,5.465,-0.682,0.206,-0.801,0.65,-28.863,5.301,1.87,0.01,5.84,0.03,4,116,,,,,,,,,,,,,,,,,,
,,,14/10/2023 14:26,52,ETH 1,6.207,0.013,11.475,0.025,17.122,0.154,22.189,0.658,-0.961,5.333,-0.625,0.15,-0.873,0.634,-29.533,5.177,1.89,0.01,5.92,0.02,9,108,,,,,,,,,,,,,,,,,,
X,,,15/10/2023 13:40,52,ETH 1,6.184,0.013,11.399,0.025,17.054,0.219,22.313,0.79,1.38,5.311,-0.593,0.211,-0.601,0.767,-27.09,5.154,1.87,0.01,5.84,0.02,18,120,,,,,,,,,,,,,,,,,,
,,,15/10/2023 18:46,52,ETH 1,6.178,0.015,11.289,0.079,16.876,0.213,21.859,0.607,7.052,7.365,-0.656,0.212,-0.827,0.626,-21.364,7.106,1.87,0.02,5.73,0.08,20,115,,,,,,,,,,,,,,,,,,
x,,,16/10/2023 09:39,52,ETH 1,6.182,0.014,11.413,0.023,17.129,0.178,22.14,0.756,0.025,5.731,-0.531,0.174,-0.799,0.738,-28.432,5.569,1.87,0.02,5.86,0.02,26,111,,,,,,,,,,,,,,,,,,
,,,16/10/2023 20:29,52,ETH 1,6.217,0.025,11.583,0.114,17.181,0.236,22.742,0.948,-7.685,15.247,-0.681,0.168,-0.546,0.831,-36.274,14.985,1.9,0.02,6.03,0.11,34,103,,,,,,,,,,,,,,,,,,
,,,16/10/2023 22:21,52,ETH 1,6.225,0.022,11.623,0.096,17.191,0.228,23.034,0.853,-13.679,15.436,-0.72,0.179,-0.34,0.731,-42.178,15.139,1.91,0.02,6.07,0.1,36,114,,,,,,,,,,,,,,,,,,
,,,17/10/2023 04:07,52,ETH 1,6.226,0.023,11.605,0.106,17.224,0.233,23.278,0.7,-6.907,18.006,-0.669,0.182,-0.064,0.591,-35.567,17.672,1.91,0.02,6.05,0.11,42,104,,,,,,,,,,,,,,,,,,
,,,17/10/23 12.21,53,ETH 1,6.196,0.017,11.532,0.105,17.183,0.241,22.457,0.869,-6.678,16.757,-0.608,0.194,-0.723,0.718,-35.178,16.45,1.88,0.02,5.98,0.1,2,113,,,,,,,,,,,,,,,,,,
x,,,17/10/23 14.17,53,ETH 1,6.203,0.021,11.545,0.083,17.023,0.234,22.704,0.9,-11.052,15.478,-0.785,0.184,-0.508,0.86,-39.46,15.16,1.89,0.02,5.99,0.08,4,109,,,,,,,,,,,,,,,,,,
,,,17/10/2023 20:03,53,ETH 1,6.224,0.032,11.643,0.132,17.25,0.221,22.888,0.82,-10.232,16.792,-0.679,0.181,-0.522,0.673,-38.865,16.535,1.9,0.03,6.09,0.13,10,108,,,,,,,,,,,,,,,,,,
,,,18/10/2023 03:46,53,ETH 1,6.206,0.024,11.592,0.102,17.181,0.242,22.997,0.724,-14.752,17.604,-0.679,0.194,-0.315,0.61,-43.143,17.263,1.89,0.02,6.04,0.1,18,100,,,,,,,,,,,,,,,,,,
,,,18/10/2023 05:41,53,ETH 1,6.232,0.03,11.649,0.109,17.287,0.246,23.1,0.845,-11.164,16.682,-0.657,0.204,-0.327,0.732,-39.791,16.395,1.91,0.03,6.09,0.11,20,116,,,,,,,,,,,,,,,,,,
,,,18/10/2023 13:02,53,ETH 1,6.253,0.021,11.683,0.079,17.31,0.175,22.595,0.909,-8.733,13.407,-0.688,0.155,-0.887,0.792,-37.516,13.142,1.93,0.02,6.13,0.08,26,107,,,,,,,,,,,,,,,,,,
,,,18/10/2023 20:20,53,ETH 1,6.244,0.028,11.688,0.092,17.323,0.231,22.552,0.75,-10.256,16.802,-0.672,0.202,-0.939,0.645,-38.994,16.461,1.92,0.03,6.13,0.09,34,106,,,,,,,,,,,,,,,,,,
,,,18/10/2023 22:36,53,ETH 1,6.28,0.023,11.703,0.089,17.41,0.213,22.884,0.609,-10.626,15.58,-0.637,0.175,-0.644,0.505,-39.418,15.273,1.96,0.02,6.15,0.09,36,100,,,,,,,,,,,,,,,,,,
,,,19/10/2023 04:31,53,ETH 1,6.292,0.014,11.669,0.035,17.35,0.22,22.833,0.688,-7.282,11,-0.676,0.207,-0.625,0.669,-36.121,10.716,1.98,0.01,6.11,0.03,42,111,,,,,,,,,,,,,,,,,,
,,,19/10/2023 14:18,54,ETH 1,6.214,0.028,11.635,0.108,17.228,0.268,22.921,0.801,-6.193,15.527,-0.682,0.21,-0.472,0.755,-34.918,15.255,1.89,0.03,5.97,0.11,2,107,,,,,,,,,,,,,,,,,,
,,,19/10/2023 16:11,54,ETH 1,6.184,0.034,11.498,0.139,17.01,0.298,19.281,9.844,0.854,43.697,-0.733,0.189,-3.762,9.412,-27.778,42.732,1.87,0.03,5.84,0.14,4,106,,,,,,,,,,,,,,,,,,
